date,price_usd,market_cap_usd,volume_24h_usd,change_24h_pct,open,high,low,close
2021-03-17,58870.89,,60258313191.0,,56825.83,58969.82,54528.63,58870.89
2021-03-18,57858.92,,55746041000.0,-1.719,58893.08,60116.25,54253.58,57858.92
2021-03-19,58346.65,,49063873786.0,0.843,57850.44,59498.38,56643.7,58346.65
2021-03-20,58313.64,,50361731222.0,-0.0566,58332.26,60031.29,58213.3,58313.64
2021-03-21,57523.42,,51943414539.0,-1.3551,58309.91,58767.9,56005.62,57523.42
2021-03-22,54529.14,,56521454974.0,-5.2053,57517.89,58471.48,54288.16,54529.14
2021-03-23,54738.95,,56435023914.0,0.3847,54511.66,55985.44,53470.7,54738.95
2021-03-24,52774.27,,70567223787.0,-3.5892,54710.49,57262.38,52514.33,52774.27
2021-03-25,51704.16,,67999812841.0,-2.0277,52726.75,53392.39,50856.57,51704.16
2021-03-26,55137.31,,56652197978.0,6.64,51683.01,55137.31,51579.86,55137.31
2021-03-27,55973.51,,47266542233.0,1.5166,55137.57,56568.21,54242.91,55973.51
2021-03-28,55950.75,,47686580918.0,-0.0407,55974.94,56610.31,55071.11,55950.75
2021-03-29,57750.2,,57625587027.0,3.2161,55947.9,58342.1,55139.34,57750.2
2021-03-30,58917.69,,54414116432.0,2.0216,57750.13,59447.22,57251.55,58917.69
2021-03-31,58918.83,,65520826225.0,0.0019,58930.28,59930.03,57726.42,58918.83
2021-04-01,59095.81,,61669163792.0,0.3004,58926.56,59586.07,58505.28,59095.81
2021-04-02,59384.31,,58727860620.0,0.4882,59098.88,60267.19,58869.28,59384.31
2021-04-03,57603.89,,59641344484.0,-2.9981,59397.41,60110.27,57603.89,57603.89
2021-04-04,58758.55,,50749662970.0,2.0045,57604.84,58913.75,57168.68,58758.55
2021-04-05,59057.88,,60706272115.0,0.5094,58760.88,59891.3,57694.82,59057.88
2021-04-06,58192.36,,66058027988.0,-1.4655,59171.93,59479.58,57646.81,58192.36
2021-04-07,56048.94,,75645303584.0,-3.6833,58186.51,58731.14,55604.02,56048.94
2021-04-08,58323.95,,53053855641.0,4.059,56099.91,58338.74,55879.09,58323.95
2021-04-09,58245.0,,46655208546.0,-0.1354,58326.56,58937.05,57807.86,58245.0
2021-04-10,59793.23,,58238470525.0,2.6581,58253.78,61276.66,58038.71,59793.23
2021-04-11,60204.96,,46280252580.0,0.6886,59846.23,60790.55,59289.8,60204.96
2021-04-12,59893.45,,51828688519.0,-0.5174,60175.95,61253.04,59589.88,59893.45
2021-04-13,63503.46,,69983454362.0,6.0274,59890.02,63742.29,59869.96,63503.46
2021-04-14,63109.7,,77451779687.0,-0.6201,63523.75,64863.1,61554.8,63109.7
2021-04-15,63314.01,,60954381579.0,0.3237,63075.2,63821.67,62208.96,63314.01
2021-04-16,61572.79,,84293007468.0,-2.7501,63258.5,63594.72,60222.53,61572.79
2021-04-17,60683.82,,66138759198.0,-1.4438,61529.92,62572.18,60361.35,60683.82
2021-04-18,56216.18,,97468872758.0,-7.3622,60701.89,61057.46,52829.54,56216.18
2021-04-19,55724.27,,65344865159.0,-0.875,56191.59,57520.05,54368.59,55724.27
2021-04-20,56473.03,,67849323955.0,1.3437,55681.79,57062.15,53448.05,56473.03
2021-04-21,53906.09,,54926612466.0,-4.5454,56471.13,56757.97,53695.47,53906.09
2021-04-22,51762.27,,74798630778.0,-3.9769,53857.11,55410.23,50583.81,51762.27
2021-04-23,51093.65,,86668667320.0,-1.2917,51739.81,52120.79,47714.66,51093.65
2021-04-24,50050.87,,49014494781.0,-2.0409,51143.23,51167.56,48805.29,50050.87
2021-04-25,49004.25,,46117114240.0,-2.0911,50052.83,50506.02,47159.48,49004.25
2021-04-26,54021.75,,58284039825.0,10.2389,49077.79,54288.0,48852.8,54021.75
2021-04-27,55033.12,,49448222757.0,1.8721,54030.3,55416.96,53319.19,55033.12
2021-04-28,54824.7,,48000572955.0,-0.3787,55036.64,56227.21,53887.92,54824.7
2021-04-29,53555.11,,46088929780.0,-2.3157,54858.09,55115.84,52418.03,53555.11
2021-04-30,57750.18,,52395931985.0,7.8332,53568.66,57900.72,53129.6,57750.18
2021-05-01,57828.05,,42836427360.0,0.1348,57714.66,58448.34,57052.27,57828.05
2021-05-02,56631.08,,38177405335.0,-2.0699,57825.86,57902.59,56141.91,56631.08
2021-05-03,57200.29,,51713139031.0,1.0051,56620.27,58973.31,56590.87,57200.29
2021-05-04,53333.54,,68564706967.0,-6.76,57214.18,57214.18,53191.43,53333.54
2021-05-05,57424.01,,69241316747.0,7.6696,53252.16,57911.36,52969.05,57424.01
2021-05-06,56396.52,,69523285106.0,-1.7893,57441.31,58363.32,55382.51,56396.52
2021-05-07,57356.4,,68434023376.0,1.702,56413.95,58606.63,55321.85,57356.4
2021-05-08,58803.78,,65382980634.0,2.5235,57352.77,59464.61,56975.21,58803.78
2021-05-09,58232.32,,65906690347.0,-0.9718,58877.39,59210.88,56482.0,58232.32
2021-05-10,55859.8,,71776546298.0,-4.0742,58250.87,59519.36,54071.46,55859.8
2021-05-11,56704.57,,61308396325.0,1.5123,55847.24,56872.54,54608.65,56704.57
2021-05-12,49150.54,,75215403907.0,-13.3217,56714.53,57939.36,49150.54,49150.54
2021-05-13,49716.19,,96721152926.0,1.1509,49735.43,51330.84,46980.02,49716.19
2021-05-14,49880.54,,55737497453.0,0.3306,49682.98,51438.12,48868.58,49880.54
2021-05-15,46760.19,,59161047474.0,-6.2556,49855.5,50639.66,46664.14,46760.19
2021-05-16,46456.06,,64047871555.0,-0.6504,46716.64,49720.04,43963.35,46456.06
2021-05-17,43537.51,,74903638450.0,-6.2824,46415.9,46623.56,42207.29,43537.51
2021-05-18,42909.4,,56187365084.0,-1.4427,43488.06,45812.46,42367.83,42909.4
2021-05-19,37002.44,,126358098747.0,-13.7661,42944.98,43546.12,30681.5,37002.44
2021-05-20,40782.74,,88281943359.0,10.2163,36753.67,42462.98,35050.62,40782.74
2021-05-21,37304.69,,82051616861.0,-8.5282,40596.95,42172.17,33616.45,37304.69
2021-05-22,37536.63,,57377273240.0,0.6217,37371.03,38831.05,35383.68,37536.63
2021-05-23,34770.58,,78469274361.0,-7.3689,37531.45,38289.22,31227.34,34770.58
2021-05-24,38705.98,,67359584098.0,11.3182,34700.36,39835.14,34551.08,38705.98
2021-05-25,38402.22,,56211915803.0,-0.7848,38795.78,39776.35,36581.43,38402.22
2021-05-26,39294.2,,51346735160.0,2.3227,38392.62,40782.08,37905.84,39294.2
