date,trend_bitcoin,trend_btc,trend_bitcoin_price,trend_buy_bitcoin,trend_crypto_crash
2021-11-23,23.0,6.0,6.0,0.0,0.0
2021-11-24,23.0,5.0,7.0,0.0,0.0
2021-11-25,21.0,5.0,6.0,0.0,0.0
2021-11-26,25.0,7.0,7.0,0.0,0.0
2021-11-27,21.0,5.0,6.0,0.0,0.0
2021-11-28,20.0,5.0,5.0,0.0,0.0
2021-11-29,21.0,5.0,6.0,0.0,0.0
2021-11-30,21.0,5.0,6.0,0.0,0.0
2021-12-01,20.0,5.0,5.0,0.0,0.0
2021-12-02,18.0,4.0,5.0,0.0,0.0
2021-12-03,19.0,5.0,5.0,0.0,0.0
2021-12-04,43.0,12.0,13.0,1.0,1.0
2021-12-05,31.0,8.0,11.0,0.0,0.0
2021-12-06,28.0,7.0,9.0,0.0,0.0
2021-12-07,25.0,6.0,7.0,0.0,0.0
2021-12-08,23.0,6.0,7.0,0.0,0.0
2021-12-09,22.0,6.0,6.0,0.0,0.0
2021-12-10,22.0,6.0,6.0,0.0,0.0
2021-12-11,20.0,5.0,5.0,0.0,0.0
2021-12-12,19.0,5.0,5.0,0.0,0.0
2021-12-13,23.0,6.0,7.0,0.0,0.0
2021-12-14,24.0,6.0,7.0,0.0,0.0
2021-12-15,23.0,6.0,6.0,0.0,0.0
2021-12-16,21.0,5.0,6.0,0.0,0.0
2021-12-17,20.0,5.0,6.0,0.0,0.0
2021-12-18,18.0,5.0,5.0,0.0,0.0
2021-12-19,18.0,5.0,5.0,0.0,0.0
2021-12-20,20.0,5.0,6.0,0.0,0.0
2021-12-21,20.0,6.0,6.0,0.0,0.0
2021-12-22,19.0,5.0,5.0,0.0,0.0
2021-12-23,20.0,5.0,5.0,0.0,0.0
2021-12-24,20.0,6.0,5.0,0.0,0.0
2021-12-25,19.0,5.0,5.0,0.0,0.0
2021-12-26,18.0,5.0,5.0,0.0,0.0
2021-12-27,19.0,5.0,5.0,0.0,0.0
2021-12-28,20.0,6.0,6.0,0.0,0.0
2021-12-29,20.0,5.0,6.0,0.0,0.0
2021-12-30,19.0,5.0,6.0,0.0,0.0
2021-12-31,19.0,5.0,5.0,0.0,0.0
2022-01-01,19.0,6.0,5.0,0.0,0.0
2022-01-02,21.0,5.0,4.0,0.0,0.0
2022-01-03,20.0,5.0,5.0,0.0,0.0
2022-01-04,46.0,14.0,12.0,1.0,0.0
2022-01-05,17.0,5.0,4.0,0.0,0.0
2022-01-06,26.0,7.0,7.0,0.0,0.0
2022-01-07,32.0,9.0,9.0,0.0,0.0
2022-01-08,29.0,8.0,7.0,0.0,0.0
2022-01-09,25.0,7.0,7.0,0.0,0.0
2022-01-10,27.0,8.0,8.0,0.0,0.0
2022-01-11,25.0,7.0,7.0,0.0,0.0
2022-01-12,23.0,7.0,6.0,0.0,0.0
2022-01-13,45.0,12.0,11.0,1.0,0.0
2022-01-14,17.0,5.0,4.0,0.0,0.0
2022-01-15,18.0,5.0,4.0,0.0,0.0
2022-01-16,33.0,10.0,8.0,1.0,0.0
2022-01-17,17.0,5.0,4.0,0.0,0.0
2022-01-18,18.0,5.0,5.0,0.0,0.0
2022-01-19,18.0,5.0,4.0,0.0,0.0
2022-01-20,18.0,5.0,5.0,0.0,0.0
2022-01-21,37.0,11.0,11.0,0.0,1.0
2022-01-22,50.0,14.0,16.0,1.0,1.0
2022-01-23,35.0,11.0,11.0,1.0,0.0
2022-01-24,100.0,29.0,31.0,1.0,1.0
2022-01-25,30.0,8.0,9.0,0.0,0.0
2022-01-26,29.0,8.0,9.0,0.0,0.0
2022-01-27,25.0,7.0,8.0,0.0,0.0
2022-01-28,26.0,7.0,8.0,0.0,0.0
2022-01-29,24.0,7.0,7.0,0.0,0.0
2022-01-30,22.0,6.0,6.0,0.0,0.0
2022-01-31,24.0,7.0,7.0,0.0,0.0
2022-02-01,25.0,6.0,7.0,0.0,0.0
2022-02-02,23.0,6.0,7.0,0.0,0.0
2022-02-03,23.0,6.0,6.0,0.0,0.0
2022-02-04,24.0,7.0,6.0,0.0,0.0
2022-02-05,25.0,7.0,7.0,0.0,0.0
2022-02-06,21.0,6.0,5.0,0.0,0.0
2022-02-07,27.0,8.0,8.0,0.0,0.0
2022-02-08,25.0,7.0,6.0,0.0,0.0
2022-02-09,24.0,6.0,6.0,0.0,0.0
2022-02-10,18.0,6.0,5.0,0.0,0.0
2022-02-11,21.0,6.0,6.0,0.0,0.0
2022-02-12,19.0,6.0,5.0,0.0,0.0
2022-02-13,18.0,5.0,4.0,0.0,0.0
2022-02-14,20.0,6.0,5.0,0.0,0.0
2022-02-15,20.0,6.0,5.0,0.0,0.0
2022-02-16,18.0,5.0,5.0,0.0,0.0
2022-02-17,20.0,6.0,5.0,0.0,0.0
2022-02-18,20.0,6.0,5.0,0.0,0.0
2022-02-19,18.0,5.0,5.0,0.0,0.0
2022-02-20,20.0,6.0,5.0,0.0,0.0
2022-02-21,22.0,7.0,5.0,0.0,0.0
2022-02-22,24.0,7.0,7.0,0.0,0.0
2022-02-23,20.0,6.0,6.0,0.0,0.0
2022-02-24,40.0,11.0,11.0,0.0,0.0
2022-02-25,28.0,7.0,8.0,0.0,0.0
2022-02-26,21.0,6.0,5.0,0.0,0.0
2022-02-27,21.0,6.0,5.0,0.0,0.0
2022-02-28,26.0,8.0,7.0,0.0,0.0
2022-03-01,27.0,9.0,7.0,0.0,0.0
2022-03-02,25.0,7.0,6.0,0.0,0.0
2022-03-03,22.0,6.0,5.0,0.0,0.0
2022-03-04,21.0,7.0,5.0,0.0,0.0
2022-03-05,19.0,6.0,5.0,0.0,0.0
2022-03-06,18.0,5.0,4.0,0.0,0.0
2022-03-07,21.0,6.0,6.0,0.0,0.0
2022-03-08,19.0,5.0,6.0,0.0,0.0
2022-03-09,23.0,7.0,6.0,0.0,0.0
2022-03-10,20.0,6.0,5.0,0.0,0.0
2022-03-11,19.0,5.0,5.0,0.0,0.0
2022-03-12,17.0,5.0,4.0,0.0,0.0
2022-03-13,16.0,5.0,4.0,0.0,0.0
2022-03-14,18.0,5.0,5.0,0.0,0.0
2022-03-15,17.0,5.0,4.0,0.0,0.0
2022-03-16,18.0,6.0,4.0,0.0,0.0
2022-03-17,17.0,5.0,4.0,0.0,0.0
2022-03-18,17.0,5.0,4.0,0.0,0.0
2022-03-19,15.0,5.0,4.0,0.0,0.0
2022-03-20,15.0,4.0,3.0,0.0,0.0
2022-03-21,16.0,5.0,4.0,0.0,0.0
2022-03-22,18.0,6.0,4.0,0.0,0.0
2022-03-23,16.0,5.0,4.0,0.0,0.0
2022-03-24,18.0,6.0,4.0,0.0,0.0
2022-03-25,18.0,6.0,4.0,0.0,0.0
2022-03-26,15.0,5.0,4.0,0.0,0.0
2022-03-27,17.0,5.0,4.0,0.0,0.0
2022-03-28,21.0,7.0,5.0,0.0,0.0
2022-03-29,20.0,6.0,5.0,0.0,0.0
2022-03-30,18.0,6.0,4.0,0.0,0.0
2022-03-31,18.0,5.0,4.0,0.0,0.0
2022-04-01,17.0,5.0,4.0,0.0,0.0
2022-04-02,15.0,5.0,4.0,0.0,0.0
2022-04-03,16.0,4.0,3.0,0.0,0.0
2022-04-04,16.0,5.0,4.0,0.0,0.0
2022-04-05,15.0,4.0,3.0,0.0,0.0
2022-04-06,17.0,5.0,4.0,0.0,0.0
2022-04-07,16.0,5.0,4.0,0.0,0.0
2022-04-08,15.0,5.0,3.0,0.0,0.0
2022-04-09,14.0,4.0,3.0,0.0,0.0
2022-04-10,14.0,4.0,3.0,0.0,0.0
2022-04-11,19.0,6.0,4.0,0.0,0.0
2022-04-12,17.0,6.0,4.0,0.0,0.0
2022-04-13,16.0,5.0,4.0,0.0,0.0
2022-04-14,15.0,5.0,4.0,0.0,0.0
2022-04-15,15.0,4.0,3.0,0.0,0.0
2022-04-16,13.0,4.0,3.0,0.0,0.0
2022-04-17,13.0,4.0,3.0,0.0,0.0
2022-04-18,15.0,5.0,4.0,0.0,0.0
2022-04-19,15.0,4.0,3.0,0.0,0.0
2022-04-20,14.0,4.0,3.0,0.0,0.0
2022-04-21,14.0,5.0,3.0,0.0,0.0
2022-04-22,14.0,5.0,3.0,0.0,0.0
2022-04-23,13.0,4.0,3.0,0.0,0.0
2022-04-24,12.0,4.0,3.0,0.0,0.0
2022-04-25,16.0,5.0,4.0,0.0,0.0
2022-04-26,15.0,5.0,4.0,0.0,0.0
2022-04-27,14.0,5.0,4.0,0.0,0.0
2022-04-28,15.0,4.0,3.0,0.0,0.0
2022-04-29,14.0,5.0,3.0,0.0,0.0
2022-04-30,13.0,5.0,3.0,0.0,0.0
2022-05-01,14.0,5.0,3.0,0.0,0.0
2022-05-02,14.0,4.0,3.0,0.0,0.0
2022-05-03,14.0,4.0,3.0,0.0,0.0
2022-05-04,13.0,5.0,3.0,0.0,0.0
2022-05-05,17.0,6.0,4.0,0.0,0.0
2022-05-06,18.0,6.0,5.0,0.0,0.0
2022-05-07,14.0,5.0,4.0,0.0,0.0
2022-05-08,17.0,7.0,4.0,0.0,0.0
2022-05-09,31.0,11.0,9.0,0.0,0.0
2022-05-10,31.0,10.0,9.0,0.0,0.0
2022-05-11,35.0,13.0,11.0,0.0,1.0
2022-05-12,52.0,16.0,16.0,1.0,2.0
2022-05-13,41.0,11.0,12.0,0.0,1.0
2022-05-14,30.0,8.0,8.0,0.0,1.0
2022-05-15,25.0,7.0,7.0,0.0,0.0
2022-05-16,25.0,7.0,8.0,0.0,0.0
2022-05-17,24.0,7.0,6.0,0.0,0.0
2022-05-18,23.0,7.0,7.0,0.0,0.0
2022-05-19,23.0,6.0,7.0,0.0,0.0
2022-05-20,21.0,6.0,6.0,0.0,0.0
2022-05-21,18.0,5.0,5.0,0.0,0.0
2022-05-22,18.0,5.0,5.0,0.0,0.0
2022-05-23,19.0,5.0,5.0,0.0,0.0
2022-05-24,19.0,6.0,5.0,0.0,0.0
2022-05-25,18.0,5.0,5.0,0.0,0.0
2022-05-26,18.0,6.0,5.0,0.0,0.0
2022-05-27,18.0,6.0,5.0,0.0,0.0
2022-05-28,16.0,5.0,4.0,0.0,0.0
2022-05-29,14.0,5.0,4.0,0.0,0.0
2022-05-30,18.0,6.0,5.0,0.0,0.0
2022-05-31,18.0,6.0,5.0,0.0,0.0
2022-06-01,16.0,5.0,4.0,0.0,0.0
2022-06-02,16.0,5.0,4.0,0.0,0.0
2022-06-03,16.0,5.0,4.0,0.0,0.0
2022-06-04,13.0,4.0,4.0,0.0,0.0
2022-06-05,14.0,4.0,4.0,0.0,0.0
2022-06-06,16.0,5.0,5.0,0.0,0.0
2022-06-07,17.0,5.0,5.0,0.0,0.0
2022-06-08,15.0,5.0,4.0,0.0,0.0
2022-06-09,15.0,5.0,4.0,0.0,0.0
2022-06-10,15.0,5.0,4.0,0.0,0.0
